Slovenia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,0.7258064516129032,0.78,,,,
1,1801,1.0658064516129033,0.7,,,,
2,1802,0.8558064516129033,0.62,,,,
3,1803,-0.23419354838709672,0.54,,,,
4,1804,0.27580645161290324,0.46,,,,
5,1805,-1.234193548387097,0.38,,,,
6,1806,0.6658064516129032,0.3,,,,
7,1807,0.7158064516129032,0.21,,,,
8,1808,-1.0341935483870968,0.13,,,,
9,1809,-0.024193548387096753,0.05,,,,
10,1810,0.4458064516129032,-0.01,,,,
11,1811,1.1058064516129034,-0.05,,,,
12,1812,-0.7541935483870968,-0.08,,,,
13,1813,-0.3641935483870967,-0.09,,,,
14,1814,-0.7141935483870968,-0.1,,,,
15,1815,-0.29419354838709677,-0.09,,,,
16,1816,-0.9841935483870968,-0.07,,,,
17,1817,0.025806451612903236,-0.04,,,,
18,1818,0.27580645161290324,0.01,,,,
19,1819,0.5458064516129033,0.06,,,,
20,1820,0.07580645161290323,0.13,,,,
21,1821,0.11580645161290323,0.19,,,,
22,1822,1.4658064516129032,0.23,,,,
23,1823,-0.05419354838709678,0.25,,,,
24,1824,0.5458064516129033,0.25,,,,
25,1825,0.5258064516129033,0.24,,,,
26,1826,0.34580645161290324,0.21,,,,
27,1827,0.18580645161290324,0.18,,,,
28,1828,0.36580645161290326,0.14,,,,
29,1829,-1.2241935483870967,0.1,,,,
30,1830,-0.12419354838709673,0.04,,,,
31,1831,0.2558064516129033,-0.02,,,,
32,1832,-0.3041935483870968,-0.08,,,,
33,1833,-0.13419354838709674,-0.14,,,,
34,1834,1.0858064516129033,-0.17,,,,
35,1835,-0.5641935483870968,-0.2,,,,
36,1836,-0.014193548387096744,-0.2,,,,
37,1837,-0.7641935483870969,-0.21,,,,
38,1838,-0.9341935483870968,-0.21,,,,
39,1839,0.16580645161290325,-0.21,,,,
40,1840,-0.6941935483870968,-0.2,,,,
41,1841,0.8358064516129032,-0.19,,,,
42,1842,-0.3141935483870968,-0.17,,,,
43,1843,0.14580645161290323,-0.16,,,,
44,1844,-0.27419354838709675,-0.14,,,,
